model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,18,38,146,0.9473684210526315,3.111111111111111,2.2134860431806063,4.672716425955195,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,42,40,111,0.8235294117647058,1.9523809523809523,1.619714180384617,2.4636255021550655,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,9,51,94,1.0,6.666666666666667,3.829242454718106,12.349720508244854,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,168,297,1791,0.9180327868852459,2.767857142857143,2.463508803968158,3.1354971484127954,5,
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,111,146,574,0.9098360655737705,2.315315315315315,2.0282683913887665,2.6824930078483087,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,44,277,575,1.0,7.295454545454546,5.586280737852289,9.641587857189034,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,25,429,709,1.0,18.16,12.496061507553291,26.614476732446715,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,30,270,575,0.8333333333333334,10.0,7.185597159399084,14.094936173934247,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,12,108,209,0.8,10.0,5.999404864378026,17.201928468955302,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,222,1230,2642,0.9173553719008265,6.54054054054054,5.803225815349278,7.391036078977483,5,
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,49,185,345,0.875,4.775510204081633,3.759134340079632,6.166286068083632,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,42,350,1882,0.875,9.333333333333334,7.059016869237312,12.461338686318244,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,31,960,2253,0.96875,31.967741935483872,22.69670877231679,45.200300176694654,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,subtotal,Fatality,,Fatality,136,122,1495,4480,0.8970588235294118,13.254098360655737,11.191691325206763,15.733857398254669,3,
